scenario,seed,log_irr_10pct,p,rejected_two_sided,detected_correct_direction
No effect,96,0.010052151331134702,0.553811942638679,False,False
No effect,97,-0.017579102898234725,0.2670476864670722,False,False
No effect,98,0.020718531672177513,0.17273282361752273,False,False
No effect,99,0.02330677332354828,0.15716686286351567,False,False
No effect,100,-0.0016933792555434623,0.917810731288232,False,False
No effect,101,0.009887386871351194,0.5798197072982447,False,False
No effect,102,0.011969879568625625,0.5085932185200654,False,False
No effect,103,0.03520112596364491,0.01588362639089031,True,True
No effect,104,0.021655915588576456,0.17601003123364223,False,False
No effect,105,0.03692295162518795,0.01565129491972598,True,True
No effect,106,0.021214069087756506,0.12654374623439285,False,False
No effect,107,-0.014425021554563626,0.323264866327728,False,False
No effect,108,0.014236867148609996,0.37991580812563563,False,False
No effect,109,-0.016506986896833498,0.29934182967712974,False,False
No effect,110,-0.0072118181583194635,0.6261389392405847,False,False
No effect,111,0.007720647808518702,0.69409218905426,False,False
No effect,112,0.015008914606359619,0.38276922577482586,False,False
No effect,113,0.00335000317270007,0.8164438130327764,False,False
No effect,114,0.019607022234264426,0.3085457175705145,False,False
No effect,115,0.010136258040684167,0.5515625863132382,False,False
No effect,116,-0.022647779964378518,0.12310272470538937,False,False
No effect,117,-0.01607092058649926,0.37746082670393477,False,False
No effect,118,-0.025089445204667594,0.2010648551543952,False,False
No effect,119,0.02294623282217913,0.10847139818592828,False,False
No effect,120,0.0008309955698776254,0.9540893729263227,False,False
No effect,121,0.022766186888542244,0.17470408362075318,False,False
No effect,122,-0.03813442315380478,0.010301303794529744,True,False
No effect,123,0.03455204785437756,0.036937125119998485,True,True
No effect,124,0.0009268152648702066,0.9574872137442589,False,False
No effect,125,0.008229292692717433,0.6010592080625199,False,False
No effect,126,0.0060375596523560195,0.7363187849177757,False,False
No effect,127,-0.005169758064052215,0.7486889669794419,False,False
No effect,128,-0.020315896045363033,0.20840528785308887,False,False
No effect,129,0.009911727628074733,0.4316689869868561,False,False
No effect,130,-0.022875840338448177,0.17292842403745234,False,False
No effect,131,-0.007770221276397204,0.6607343135206187,False,False
No effect,132,0.005573388802739848,0.699331245565179,False,False
No effect,133,-0.012947598326875259,0.4336361014166866,False,False
No effect,134,0.034957289731668034,0.02305602964320181,True,True
No effect,135,0.00849254531894255,0.5973347188790377,False,False
No effect,136,0.004448112101598293,0.77324930759026,False,False
No effect,137,-0.01602805692854384,0.2884134710670768,False,False
No effect,138,0.0033988193744494744,0.8371578954789991,False,False
No effect,139,0.014674419904389398,0.48500403491941313,False,False
No effect,140,0.012127250085414211,0.4683102192220352,False,False
No effect,141,0.016527861570685105,0.2837561934791014,False,False
No effect,142,-0.02128245881670419,0.18767025652789138,False,False
No effect,143,-0.013740744431801039,0.4087478325978109,False,False
No effect,144,-0.000845603765578883,0.9490754704704473,False,False
No effect,145,-0.00907695368268912,0.5671531395067088,False,False
No effect,146,0.00545477204310319,0.7316206502334662,False,False
No effect,147,-0.0073167508102867426,0.6541733693373909,False,False
No effect,148,-0.004205141786987583,0.8198058500882752,False,False
No effect,149,0.01097364745437018,0.42529279228020633,False,False
No effect,150,0.0036489412213186498,0.8136460755571973,False,False
No effect,151,0.017998088555973644,0.20772502542685511,False,False
No effect,152,-0.003318758378106773,0.8620187275758121,False,False
No effect,153,-0.00898022521390742,0.5201739733528885,False,False
No effect,154,0.0062534065766725756,0.6857165433070982,False,False
No effect,155,0.0006870995068284751,0.9698094648079051,False,False
No effect,156,-0.010310809920662531,0.5260489098244374,False,False
No effect,157,0.004690953746982985,0.7662794383705545,False,False
No effect,158,0.004956430592286479,0.7295646447844368,False,False
No effect,159,0.011829009357052854,0.5647753908210308,False,False
No effect,160,-0.015470848380845267,0.2695071611715677,False,False
No effect,161,0.0077885744836557564,0.6769022672292788,False,False
No effect,162,-0.0065143187543314504,0.6927853496395069,False,False
No effect,164,0.01799932197188737,0.196792865879296,False,False
No effect,163,-0.009054238448768601,0.5124740646084649,False,False
No effect,165,0.014957125628267332,0.41842163095919216,False,False
No effect,166,0.010158400841516944,0.5017839798570625,False,False
No effect,167,-0.020374871030130935,0.2014641701582831,False,False
No effect,168,0.0010148501956225393,0.9535490907817479,False,False
No effect,169,0.0009286345767554158,0.9523242186957592,False,False
No effect,170,-0.010113591833470308,0.42226825222678555,False,False
No effect,171,0.012077036190409333,0.507267588968603,False,False
No effect,172,0.0016302579247090324,0.9304869290860658,False,False
No effect,173,-0.0024024910951115238,0.8843125259093605,False,False
No effect,174,-0.009318629900657953,0.5610062791824525,False,False
No effect,175,0.010851080065091697,0.5413484931003636,False,False
No effect,176,-0.03397426243285962,0.025404042524320353,True,False
No effect,177,-0.004430677441540476,0.7878012071288608,False,False
No effect,178,-0.051434557825274965,0.0005009472585774389,True,False
No effect,179,0.011026771253591399,0.4545979514274835,False,False
No effect,180,0.03743045520983047,0.015434182286248245,True,True
No effect,181,-0.00649087594456399,0.7013304040676506,False,False
