drug,model,term,irr_10pct,ci_low,ci_high,upper90,se_log_irr_10pct,p,n_obs,n_areas,years,q_fdr,max_compatible_paf_pct
inhaled_corticosteroids,primary (t-1),exposure_lag1,0.9762867010070028,0.9274327654249112,1.0277140921654302,1.0192698937070477,0.02619183293996316,0.35952141674782145,1660,151,2014-2024,0.9001498462985842,19.26989370704766
inhaled_corticosteroids,FE only (t-1),exposure_lag1,0.954472860271791,0.9023927326340877,1.0095587076994155,1.0004958559544868,0.028627235701709934,0.10359208415540307,1661,151,2014-2024,,0.49585595448675646
inhaled_corticosteroids,"distributed lag (t, t-1, t-2)",exposure,0.8728410606511158,0.8223617239421195,0.9264189893305228,0.9175915455593499,0.030394452263272666,7.656881781088013e-06,1660,151,2014-2024,,0.0
inhaled_corticosteroids,"distributed lag (t, t-1, t-2)",exposure_lag1,1.074402134193017,0.9825751916578993,1.1748107989687706,1.1580626211140943,0.04558304073825874,0.11540304641638924,1660,151,2014-2024,,
inhaled_corticosteroids,"distributed lag (t, t-1, t-2)",exposure_lag2,1.0200387399308621,0.9447412373239821,1.101337583089884,1.0878476160411712,0.039124907562063806,0.6120780867174651,1660,151,2014-2024,,87.84761604117112
inhaled_corticosteroids,"lag and lead (t-1, t+1)",exposure_lag1,1.0901105487086242,1.0225455893452338,1.1621398799116114,1.1502506787176774,0.03264485603791485,0.008218427374007048,1509,151,2014-2023,,
inhaled_corticosteroids,"lag and lead (t-1, t+1)",exposure_lag-1,0.8583419341688076,0.8210087741690767,0.8973727189435917,0.8909822714126927,0.022688136837751463,1.665273132338431e-11,1509,151,2014-2023,,0.0
inhaled_corticosteroids,prior 3 years (t-3..t-1),exposure_prior3,0.9920272786460705,0.9362066467791402,1.0511761745802806,1.0414375681892547,0.029548151509413645,0.7864658835479871,1660,151,2014-2024,,41.43756818925466
inhaled_corticosteroids,+ area trends (t-1),exposure_lag1,1.0767656991427663,1.0181916387207974,1.1387093811800006,1.1285190058004428,0.028537588946978235,0.009549371671932035,1660,151,2014-2024,,
inhaled_corticosteroids,population covariate (t-1),exposure_lag1,0.9790934514882732,0.9275813156626224,1.0334662531040977,1.0245283709581359,0.027574812004305362,0.44354945551114333,1660,151,2014-2024,,24.528370958135852
inhaled_corticosteroids,+ LTBI programme (t-1),exposure_lag1,0.9770103409819364,0.9278452718495874,1.0287805901977813,1.0202790492986868,0.026342984921648167,0.3772939714819947,1660,151,2014-2024,,20.27904929868683
inhaled_corticosteroids,+ asylum support (t-1),exposure_lag1,0.9628777996307318,0.919024870965887,1.0088232498510195,1.0012939619479078,0.023782307744330756,0.11169363985679426,1394,150,2015-2024,,1.2939619479077613
inhaled_corticosteroids,exclude COVID years (t-1),exposure_lag1,0.968140892089811,0.9196599163978727,1.0191776005718098,1.0107974196280585,0.026211061607471355,0.21673124788820775,1207,151,2014-2024,,10.79741962805846
conventional_dmards,primary (t-1),exposure_lag1,1.0027524995144388,0.9803588718901415,1.0256576485545714,1.021941485591641,0.01152311064750816,0.8114625971702865,1660,151,2014-2024,0.9001498462985842,21.94148559164109
conventional_dmards,FE only (t-1),exposure_lag1,1.008012322722103,0.9840075159267507,1.032602725399555,1.02861061573508,0.012297009346574746,0.5163575391145877,1661,151,2014-2024,,28.61061573508003
conventional_dmards,"distributed lag (t, t-1, t-2)",exposure,0.9833461684456428,0.9461397362308119,1.022015723437318,1.015699944354426,0.019679052232738428,0.3934385759262996,1660,151,2014-2024,,15.699944354425885
conventional_dmards,"distributed lag (t, t-1, t-2)",exposure_lag1,1.0200843113790126,0.9599800105050106,1.0839517395515217,1.0734239665711909,0.030983724093139823,0.5210045592644159,1660,151,2014-2024,,73.42396657119082
conventional_dmards,"distributed lag (t, t-1, t-2)",exposure_lag2,0.9972969993555508,0.9534693653772822,1.0431392355537588,1.0356320843091686,0.02292924628243834,0.9060327808377366,1660,151,2014-2024,,35.63208430916861
conventional_dmards,"lag and lead (t-1, t+1)",exposure_lag1,1.030550687322888,0.9990121908587551,1.0630848440685667,1.0577877024307525,0.01585796153102448,0.057738491323581824,1509,151,2014-2023,,57.78770243075243
conventional_dmards,"lag and lead (t-1, t+1)",exposure_lag-1,0.9645888701098598,0.9305969401550993,0.9998224238570398,0.9940742943814174,0.018303937678576236,0.04887248911246158,1509,151,2014-2023,,0.0
conventional_dmards,prior 3 years (t-3..t-1),exposure_prior3,1.003462038804931,0.9799677840019763,1.027519557031191,1.0236146276952163,0.012087571974323785,0.7749405885771197,1660,151,2014-2024,,23.614627695216253
conventional_dmards,+ area trends (t-1),exposure_lag1,1.0371153934777475,0.9994799208004365,1.0761680319971803,1.0697939549537971,0.018858884592128672,0.05330825280448461,1660,151,2014-2024,,69.79395495379708
conventional_dmards,population covariate (t-1),exposure_lag1,1.0024908945952216,0.9801308658428939,1.0253610296029776,1.0216505912681824,0.011508661794723736,0.8288572664084167,1660,151,2014-2024,,21.650591268182342
conventional_dmards,+ LTBI programme (t-1),exposure_lag1,1.0026284368774319,0.9802495638370716,1.0255182144639732,1.0218045643560458,0.011516873132053568,0.8197041912842062,1660,151,2014-2024,,21.804564356045812
conventional_dmards,+ asylum support (t-1),exposure_lag1,1.0010028433894296,0.9809742711776929,1.0214403393789115,1.018127819732166,0.010311932539065816,0.9225659481261506,1394,150,2015-2024,,18.12781973216591
conventional_dmards,exclude COVID years (t-1),exposure_lag1,1.0029163018184664,0.9804961381453395,1.02584912813204,1.0221284384986107,0.011535015138677615,0.8006903699297719,1207,151,2014-2024,,22.12843849861066
