outcome,exposure,model,lag_years,n_obs,years,irr_per_10pct,ci_low,ci_high,p,leave_one_region_out_range,analysis
"TB, UK born",rate_levothyroxine,FE + migration + age,3,72,2017-2024,1.0926984200490697,0.9546274425417541,1.2507390673775958,0.16865200158900767,1.041-1.396,lagged exposure
"TB, UK born",rate_levothyroxine,FE only,1,72,2015-2024,0.9329285678097435,0.7941344998531387,1.0959802310521662,0.34936487733613164,0.888-1.313,"lagged, excluding 2020-21"
"TB, UK born",rate_levothyroxine,FE + migration + age,1,72,2015-2024,0.9593887337527935,0.8065122396796772,1.1412433651563116,0.596819382269882,0.915-1.462,"lagged, excluding 2020-21"
"TB, UK born",rate_levothyroxine,FE only,2,63,2016-2024,0.9468709185630915,0.8170171201108767,1.0973632184094755,0.4182136923050722,0.903-1.216,"lagged, excluding 2020-21"
"TB, UK born",rate_levothyroxine,FE + migration + age,2,63,2016-2024,0.9722695904012335,0.8275992736479789,1.142229321024116,0.6978330222175795,0.929-1.331,"lagged, excluding 2020-21"
"TB, UK born",rate_levothyroxine,FE only,3,54,2017-2024,1.0165801612151366,0.8599427132728209,1.201748916788985,0.8264059087952969,0.974-1.275,"lagged, excluding 2020-21"
"TB, UK born",rate_levothyroxine,FE + migration + age,3,54,2017-2024,1.1002711052926146,0.9418894279101243,1.285285161155188,0.194012937688565,1.048-1.521,"lagged, excluding 2020-21"
"TB, UK born",rate_levothyroxine,FE only,-1,99,2013-2023,0.9007821693627681,0.7812045192496132,1.0386633674639951,0.12914309507223232,0.855-1.091,lead (falsification)
"TB, UK born",rate_levothyroxine,FE + migration + age,-1,99,2013-2023,0.8691011051187476,0.742233980412021,1.0176531267125952,0.07447657083792326,0.832-1.242,lead (falsification)
"TB, UK born",rate_levothyroxine,FE only,-2,99,2012-2022,0.9033855637485565,0.8056234939643363,1.0130110192956028,0.07500374922845417,0.874-1.124,lead (falsification)
"TB, UK born",rate_levothyroxine,FE + migration + age,-2,99,2012-2022,0.9589593956819531,0.8182815858498413,1.1238223350848424,0.5593232353261837,0.922-1.347,lead (falsification)
"TB, UK born",rate_levothyroxine,FE only,-3,90,2012-2021,0.8939487160415855,0.8191462506376284,0.9755819626719167,0.01819163479813662,0.877-1.074,lead (falsification)
"TB, UK born",rate_levothyroxine,FE + migration + age,-3,90,2012-2021,0.9497079079697034,0.7953905474428091,1.1339650859064843,0.5210877426829956,0.898-1.257,lead (falsification)
"TB, UK born",rate_proton_pump_inhibitors,FE only,1,90,2015-2024,0.9534809892147414,0.7521717737800007,1.2086680575969446,0.6555663685124049,0.897-1.120,lagged exposure
"TB, UK born",rate_proton_pump_inhibitors,FE + migration + age,1,90,2015-2024,1.032365059977751,0.7616124525172444,1.399369999190939,0.8152557524392474,0.969-1.179,lagged exposure
"TB, UK born",rate_proton_pump_inhibitors,FE only,2,81,2016-2024,0.9443321620944665,0.7959824493678204,1.1203302699378104,0.4618290408735821,0.898-1.033,lagged exposure
"TB, UK born",rate_proton_pump_inhibitors,FE + migration + age,2,81,2016-2024,0.9956989391805195,0.7928938258683081,1.2503772196731375,0.9662596007799343,0.940-1.088,lagged exposure
